,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
95,Itarema,100,BR,1586612752,75,-2.92,-39.92,29.23,3.34
96,Chokurdakh,100,RU,1586612639,98,70.63,147.92,-2.11,7.23
97,Kerman,75,IR,1586613012,19,30.28,57.08,24.0,6.2
98,Litovel,91,CZ,1586613013,27,49.7,17.08,17.22,4.1
99,Teknāf,31,BD,1586613014,84,20.86,92.31,25.53,1.31
100,Tiksi,31,RU,1586612576,93,71.69,128.87,-5.62,7.64
101,New Norfolk,75,AU,1586612740,71,-42.78,147.06,11.0,2.6
102,Arraial do Cabo,75,BR,1586612742,78,-22.97,-42.03,25.0,3.1
103,Svetlaya,0,RU,1586613018,92,46.54,138.33,-1.55,3.04
104,Touros,20,BR,1586612766,83,-5.2,-35.46,29.0,3.1
105,Pizarro,97,CO,1586613021,89,4.95,-77.37,25.89,1.22
106,Inírida,99,CO,1586612794,63,3.87,-67.92,29.83,1.39
107,Clyde River,75,CA,1586612761,78,70.47,-68.59,-13.0,7.7
108,Obihiro,80,JP,1586613024,94,42.92,143.2,-2.05,0.3
109,Olinda,40,BR,1586612934,66,-8.01,-34.86,31.0,3.1
110,Sioux Lookout,90,CA,1586612777,83,50.1,-91.92,0.0,5.1
111,Lata,75,PT,1586613027,72,40.16,-8.33,18.33,3.6
112,Narsaq,75,GL,1586612759,36,60.92,-46.05,8.0,3.1
113,Saint Paul Harbor,90,US,1586612747,80,57.79,-152.41,4.0,6.7
114,Butaritari,89,KI,1586612737,76,3.07,172.79,28.79,5.64
115,San Patricio,20,MX,1586612746,72,19.22,-104.7,20.0,0.63
116,Fairbanks,20,US,1586612739,84,64.84,-147.72,-6.11,2.1
117,Saldanha,70,ZA,1586612629,53,-33.01,17.94,25.0,4.1
118,Nikolskoye,40,RU,1586612750,65,59.7,30.79,6.11,9.0
119,Yārāda,75,IN,1586612772,79,17.65,83.27,29.0,3.6
120,Kruisfontein,100,ZA,1586612746,45,-34.0,24.73,21.31,2.37
121,Jūybār,75,IR,1586613038,67,36.64,52.91,14.0,1.0
122,Kautokeino,94,NO,1586613039,92,69.01,23.04,-2.97,4.34
123,Sørland,100,NO,1586612757,79,67.67,12.69,1.75,4.49
124,Adrar,0,MR,1586612744,9,20.5,-10.07,37.03,4.54
125,Urengoy,100,RU,1586613042,98,65.97,78.37,2.49,8.76
126,Saint George,1,US,1586612630,81,37.1,-113.58,7.22,1.5
127,Katobu,100,ID,1586613044,90,-4.94,122.53,24.42,1.37
128,Jever,92,DE,1586613045,27,53.58,7.9,18.89,2.6
129,Ryōtsu-minato,84,JP,1586613046,86,38.08,138.43,4.0,1.0
130,Atambua,13,ID,1586612768,80,-9.11,124.89,23.15,1.36
131,Illela,64,NG,1586613049,7,13.73,5.3,40.9,6.52
132,Ilulissat,75,GL,1586612768,50,69.22,-51.1,1.0,3.6
133,Hermanus,100,ZA,1586612741,73,-34.42,19.23,22.78,0.89
134,Bonthe,68,SL,1586612769,65,7.53,-12.51,30.89,4.9
135,Paita,96,PE,1586613053,100,-5.09,-81.11,17.0,5.1
136,Sur,0,OM,1586612829,53,22.57,59.53,28.98,5.36
137,Magistral'nyy,100,RU,1586613055,81,56.17,107.45,1.57,2.57
138,Codrington,49,AU,1586613056,77,-38.27,141.97,10.79,5.85
139,Marsabit,20,KE,1586613057,33,2.33,37.99,26.76,7.62
140,Cidreira,18,BR,1586612749,57,-30.18,-50.21,21.86,2.7
141,Zonguldak,11,TR,1586613060,54,41.25,31.83,10.39,2.6
142,Chernyshevskiy,33,RU,1586613061,95,63.01,112.47,-4.07,3.48
143,Basco,79,PH,1586612742,73,20.45,121.97,24.85,2.37
144,Puyang,100,CN,1586613063,84,29.46,119.89,9.61,1.4
145,Port Lincoln,52,AU,1586612777,65,-34.73,135.87,13.54,3.55
146,Arlit,93,NE,1586612758,7,18.74,7.39,38.63,2.62
147,Virginia Beach,1,US,1586612504,37,36.85,-75.98,11.67,6.2
148,Ullapool,89,GB,1586613067,70,57.9,-5.16,14.44,5.81
149,Cockburn Town,0,TC,1586612742,73,21.46,-71.14,25.91,1.91
150,Bubaque,0,GW,1586612760,75,11.28,-15.83,26.14,4.86
151,Nome,20,US,1586612545,92,64.5,-165.41,-6.0,4.6
152,Tvøroyri,99,FO,1586613072,93,61.56,-6.81,8.0,8.2
153,Katsuura,75,JP,1586612755,58,35.13,140.3,13.0,6.2
154,Port Macquarie,0,AU,1586612765,32,-31.43,152.92,20.0,6.7
155,Severo-Kuril'sk,67,RU,1586612744,94,50.68,156.12,-1.98,4.48
156,Bousso,100,TD,1586613076,16,10.48,16.71,35.06,1.8
157,Bud,90,US,1586613077,52,39.45,-86.18,9.44,2.6
158,Gambēla,48,ET,1586613078,37,8.25,34.58,33.04,0.61
159,Rørvik,100,NO,1586613079,75,64.86,11.24,3.62,4.77
160,Provideniya,100,RU,1586612747,96,64.38,-173.3,-3.97,1.77
161,Lavrentiya,99,RU,1586612779,98,65.58,-171.0,-2.44,3.7
162,Viedma,100,AR,1586613067,50,-40.81,-63.0,20.49,4.33
163,Leningradskiy,100,RU,1586612743,82,69.38,178.42,-13.94,2.41
164,Talnakh,75,RU,1586612772,92,69.49,88.4,-5.0,12.0
165,Hrymayliv,51,UA,1586613086,38,49.33,26.01,11.6,5.64
166,Soyo,28,AO,1586612803,72,-6.13,12.37,29.43,3.0
167,Samarai,73,PG,1586612948,72,-10.62,150.67,25.97,1.9
168,Port Augusta,90,AU,1586613089,63,-32.5,137.77,16.0,4.1
169,Talcahuano,75,CL,1586612985,82,-36.72,-73.12,15.0,2.1
170,Marawi,0,PH,1586613091,67,8.0,124.29,19.69,1.07
171,Novo Aripuanã,100,BR,1586613092,82,-5.12,-60.38,29.27,0.64
172,Jining,0,CN,1586612774,54,35.41,116.58,7.74,4.12
173,Nanortalik,90,GL,1586612744,68,60.14,-45.24,4.16,7.26
174,Pacific Grove,90,US,1586612741,76,36.62,-121.92,13.0,1.93
175,DeKalb County,1,US,1586613096,61,33.75,-84.23,12.22,2.97
176,Villamontes,0,BO,1586613097,29,-21.25,-63.5,27.5,2.25
177,Norfolk,1,US,1586612809,42,42.17,-71.25,7.78,7.7
178,Sawtell,0,AU,1586613100,87,-30.38,153.1,19.0,1.5
179,Broome,1,US,1586612768,66,42.25,-75.83,3.89,5.1
180,Bucerías,40,MX,1586613102,88,20.75,-105.33,21.67,2.1
181,Nosy Varika,10,MG,1586613103,83,-20.58,48.53,24.45,1.34
182,Robertsport,76,LR,1586612757,64,6.75,-11.37,29.32,3.03
183,Katangli,25,RU,1586613105,94,51.71,143.23,-3.35,5.11
184,Sompeta,0,IN,1586612832,71,18.93,84.6,28.09,4.13
185,Uvalde,90,US,1586613108,100,29.37,-99.77,19.44,4.6
186,Praia,20,CV,1586612752,40,14.92,-23.51,30.0,8.7
187,Avarua,87,CK,1586612739,100,-21.21,-159.78,26.0,0.5
188,Puerto Lempira,80,HN,1586613111,66,15.27,-83.77,29.1,3.77
189,Mogadishu,40,SO,1586613112,62,2.04,45.34,31.0,6.2
190,Oktyabr'skiy,100,RU,1586612768,58,54.48,53.47,7.64,3.51
191,Caravelas,32,BR,1586613114,80,-17.71,-39.25,27.36,4.72
192,Krasnosel'kup,100,RU,1586612770,96,65.7,82.47,1.88,9.99
193,Yichun,16,CN,1586613117,64,47.7,128.9,2.34,0.87
194,East London,100,ZA,1586612645,73,-33.02,27.91,23.0,2.1
195,Norman Wells,75,CA,1586612751,92,65.28,-126.83,-6.0,1.5
196,Carnarvon,40,AU,1586612745,83,-24.87,113.63,26.0,5.1
197,Kiryat Gat,40,IL,1586612776,63,31.61,34.76,20.0,6.2
198,Madang,100,PG,1586613122,80,-5.22,145.8,26.21,0.83
199,Riyadh,75,SA,1586613039,13,24.69,46.72,34.0,3.6
200,Vanavara,42,RU,1586612928,93,60.34,102.28,-1.57,2.08
201,Zhezkazgan,44,KZ,1586613125,43,47.8,67.71,9.16,4.25
202,Pictou,92,CA,1586613126,83,45.68,-62.72,4.44,8.05
203,Dingle,3,PH,1586612742,69,11.0,122.67,26.12,3.32
204,Saint-Pierre,20,RE,1586613128,69,-21.34,55.48,27.0,11.3
205,Faanui,100,PF,1586612744,75,-16.48,-151.75,28.05,4.69
206,Mirny,55,RU,1586613130,74,62.54,113.96,1.0,7.0
207,Ribeira Grande,20,PT,1586612773,77,38.52,-28.7,18.0,2.6
208,Port Blair,68,IN,1586612750,71,11.67,92.75,28.65,3.28
209,Springbok,0,ZA,1586613134,18,-29.66,17.89,25.24,6.04
210,La Llave,5,MX,1586613135,50,20.47,-100.0,13.0,2.1
211,Saskylakh,90,RU,1586612712,94,71.92,114.08,-10.26,6.75
212,Boyolangu,69,ID,1586613097,77,-8.12,111.89,25.51,0.6
213,Sinegor'ye,100,RU,1586613138,90,62.08,150.48,-5.49,3.07
214,Lábrea,89,BR,1586613139,77,-7.26,-64.8,27.5,0.93
215,Ţahţā,0,EG,1586613140,21,26.77,31.5,29.0,6.2
216,Karratha,0,AU,1586612766,58,-20.74,116.85,28.37,4.49
217,Vicuña,85,CL,1586613142,67,-30.03,-70.71,16.0,2.1
218,Ishigaki,75,JP,1586613143,85,24.34,124.16,22.07,8.4
219,Clarksburg,75,US,1586612914,52,39.28,-80.34,7.22,3.1
220,Abbeville,12,FR,1586612659,45,50.1,1.83,23.89,4.6
221,Grindavik,75,IS,1586613147,86,63.84,-22.43,6.0,5.7
222,Manggar,51,ID,1586613148,80,-2.88,108.27,27.78,2.45
223,Magdagachi,3,RU,1586613149,80,53.45,125.8,2.11,2.05
224,Kang,87,BW,1586613150,29,-23.68,22.79,26.09,1.64
225,Evensk,98,RU,1586613151,89,61.95,159.23,-15.32,2.08
226,Haverfordwest,4,GB,1586613152,67,51.8,-4.97,21.11,3.1
227,Chicama,93,PE,1586613153,93,-7.84,-79.15,19.0,4.1
228,Bodden Town,20,KY,1586613154,83,19.28,-81.25,28.33,4.44
229,Pitimbu,40,BR,1586613155,62,-7.47,-34.81,31.0,5.1
230,Dejen,64,ET,1586613156,17,10.17,38.13,24.73,0.81
231,Concordia,0,AR,1586613157,77,-31.39,-58.02,18.0,3.1
232,Chapleau,20,CA,1586613158,74,47.84,-83.4,-2.0,3.6
233,Pasni,17,PK,1586613159,67,25.26,63.47,26.8,4.43
234,Guerrero Negro,96,MX,1586612747,69,27.98,-114.06,15.64,2.54
235,Dunedin,78,NZ,1586612760,96,-45.87,170.5,10.0,0.89
236,Okato,70,NZ,1586613163,89,-39.2,173.88,11.67,1.79
237,Nemuro,46,JP,1586612746,91,43.32,145.57,-0.74,4.58
238,Guamúchil,80,MX,1586612916,31,25.47,-108.1,21.4,0.89
239,Havelock,1,US,1586612897,43,34.88,-76.9,12.78,3.6
240,Pilar,75,BR,1586613167,62,-9.6,-35.96,31.0,4.1
241,Alekseyevka,85,RU,1586613168,51,50.63,38.69,8.0,5.65
242,Uithoorn,76,NL,1586613169,32,52.24,4.83,21.67,1.5
243,Vao,21,NC,1586612774,78,-22.67,167.48,24.04,7.0
244,Carutapera,74,BR,1586612773,74,-1.2,-46.02,29.2,3.81
245,Tabuny,10,RU,1586613172,56,52.78,78.79,7.09,3.63
246,Suclayin,58,PH,1586613173,77,15.76,121.55,25.4,0.23
247,Arrondissement de Saint-Malo,0,FR,1586613174,31,48.5,-1.83,26.0,4.6
248,Namwala,91,ZM,1586613175,47,-15.75,26.44,24.89,2.1
249,Ashington,33,GB,1586613176,33,50.93,-0.39,25.56,3.1
250,Bonavista,94,CA,1586612952,86,48.65,-53.11,2.22,1.34
251,Novikovo,100,RU,1586613179,55,51.15,37.89,7.0,4.37
252,El Jícaro,65,GT,1586613180,32,14.92,-89.9,35.22,1.03
253,Vestmannaeyjar,90,IS,1586613181,93,63.44,-20.27,7.0,3.1
254,Leer,46,SS,1586613182,26,8.3,30.14,36.08,2.66
255,Ajdabiya,100,LY,1586613183,47,30.76,20.23,18.82,7.2
256,Sisimiut,100,GL,1586613184,84,66.94,-53.67,1.36,0.96
257,Batticaloa,13,LK,1586613185,76,7.71,81.69,27.93,3.71
258,Taku,1,CN,1586613186,24,39.02,117.65,15.0,2.0
259,Barra do Garças,20,BR,1586612946,58,-15.89,-52.26,31.0,1.29
260,Elko,1,US,1586613188,64,41.0,-115.5,6.67,1.5
261,Kīhei,1,US,1586613189,78,20.79,-156.47,22.0,5.7
262,Onega,2,RU,1586613190,88,63.91,38.14,-0.86,3.53
263,Raja,7,SS,1586613191,17,8.46,25.68,35.73,3.19
264,Dalby,53,AU,1586613193,58,-27.18,151.27,17.78,3.6
265,City of San Pedro,40,PH,1586613172,70,14.35,121.02,29.0,2.6
266,Mildura,0,AU,1586613139,50,-34.2,142.15,13.0,4.1
267,Toribío,90,CO,1586613196,100,2.95,-76.27,21.0,0.59
268,Iskitim,49,RU,1586613197,45,54.64,83.3,6.0,2.0
269,Kavieng,97,PG,1586612751,76,-2.57,150.8,28.26,2.34
270,Río Gallegos,75,AR,1586612761,60,-51.62,-69.22,5.0,5.7
271,La Romana,40,DO,1586613119,94,18.43,-68.97,28.0,2.92
272,Husavik,90,IS,1586613201,93,66.04,-17.34,2.0,3.1
273,Buin,75,CL,1586613202,76,-33.73,-70.75,14.0,1.84
274,Sinnamary,93,GF,1586613203,69,5.38,-52.95,28.15,5.87
275,Port Hardy,90,CA,1586612770,86,50.7,-127.42,4.0,1.54
276,Marsh Harbour,94,BS,1586613205,72,26.54,-77.06,22.59,5.96
277,Gainesville,1,US,1586613206,50,29.65,-82.32,20.0,1.5
278,Dicabisagan,42,PH,1586613207,79,17.08,122.42,25.06,1.28
279,Gogrial,89,SS,1586613209,32,8.53,28.1,33.83,1.62
280,Pangnirtung,100,CA,1586612763,84,66.15,-65.71,-5.12,0.16
281,Pacifica,90,US,1586613211,93,37.61,-122.49,12.22,2.1
282,Los Llanos de Aridane,75,ES,1586612743,73,28.66,-17.92,21.0,4.1
283,Shakhtinsk,94,KZ,1586613213,46,49.71,72.59,10.0,5.0
284,Alofi,100,NU,1586612738,100,-19.06,-169.92,20.0,1.0
285,San Cristobal,100,VE,1586613158,44,7.77,-72.22,26.14,1.34
286,Yar-Sale,100,RU,1586612743,97,66.83,70.83,-0.19,6.64
287,Awjilah,74,LY,1586613217,20,29.11,21.29,23.3,4.31
288,Klaksvík,100,FO,1586612777,93,62.23,-6.59,8.0,8.2
289,Kieta,92,PG,1586612646,79,-6.22,155.63,26.8,1.26
290,Calvinia,45,ZA,1586613220,16,-31.47,19.78,25.51,6.73
291,Pangkalanbuun,100,ID,1586612975,90,-2.68,111.62,25.12,1.19
292,Sines Municipality,1,PT,1586613222,82,37.96,-8.87,16.67,4.02
293,Ipixuna,75,BR,1586613223,79,-1.76,-48.8,29.0,3.6
294,Saint Anthony,20,US,1586613224,74,45.02,-93.22,6.67,1.18
295,North Bend,90,US,1586613226,100,43.41,-124.22,8.33,2.6
296,Luwuk,4,ID,1586613227,67,-0.95,122.79,27.36,3.56
297,Muros,75,ES,1586612767,82,42.78,-9.06,17.22,2.1
298,Manokwari,78,ID,1586613188,69,-0.87,134.08,27.72,1.5
299,Verkhoyansk,100,RU,1586613230,92,67.54,133.38,-2.79,3.88
300,Tessalit,0,ML,1586612779,6,20.2,1.01,40.22,5.09
301,Inhambane,40,MZ,1586613232,58,-23.86,35.38,28.0,4.1
302,Zeya,10,RU,1586612760,77,53.75,127.27,2.22,2.38
303,Faya,40,SA,1586612759,47,18.39,42.45,24.0,6.7
304,Mahajanga,20,MG,1586612752,44,-15.72,46.32,35.0,2.6
305,Arona,75,ES,1586613236,60,28.1,-16.68,23.0,8.2
306,El Copé,100,PA,1586613237,35,8.62,-80.6,27.22,2.24
307,Hong Kong,40,HK,1586612446,88,22.29,114.16,23.89,2.1
308,Hambantota,9,LK,1586612774,77,6.12,81.12,28.44,6.28
309,Isangel,59,VU,1586612770,67,-19.55,169.27,24.99,4.25
310,Lalibela,68,ET,1586613242,23,12.03,39.03,22.84,3.89
311,Aleppo Governorate,33,SY,1586613243,36,36.25,37.5,18.08,5.78
312,Arrondissement d'Ajaccio,0,FR,1586613244,49,42.0,8.92,23.0,4.6
313,Coquimbo,100,CL,1586612769,67,-29.95,-71.34,16.0,2.1
314,Kabanjahe,40,ID,1586613246,83,3.1,98.49,29.0,2.1
315,Zolotkovo,100,RU,1586613247,65,55.53,41.11,4.74,2.53
316,Krasnoyarskaya,83,RU,1586613248,49,47.65,42.04,9.89,6.04
317,Punta Alta,70,AR,1586612764,42,-38.88,-62.07,21.79,7.67
318,Kahului,1,US,1586612760,78,20.89,-156.47,22.0,5.7
319,Vestmanna,100,FO,1586612768,93,62.16,-7.17,8.0,8.2
320,Vardø,97,NO,1586612676,90,70.37,31.11,-1.17,5.92
321,Nova Zagora,20,BG,1586613254,32,42.48,26.02,20.0,6.2
322,Volgograd,75,RU,1586613255,86,48.72,44.5,5.0,8.0
323,Ayna,20,PE,1586613256,58,-12.65,-73.92,13.0,1.0
324,Kudahuvadhoo,3,MV,1586613257,64,2.67,72.89,29.49,1.03
325,Devonport,20,AU,1586613144,77,-41.17,146.35,11.67,4.47
326,Dongsheng,0,CN,1586612994,30,39.82,109.98,5.28,2.72
327,Puro,1,PH,1586613260,75,12.48,123.38,27.46,2.29
328,Ust'-Ishim,17,RU,1586613261,82,57.69,71.17,5.88,2.21
329,Wanning,35,CN,1586612775,87,18.8,110.4,24.48,0.89
330,Izvestkovyy,19,RU,1586613263,66,48.98,131.55,2.75,1.11
331,Champerico,20,GT,1586613264,83,14.3,-91.92,25.0,0.95
332,Padang,100,ID,1586612749,75,-0.95,100.35,26.96,1.51
333,Tāybād,95,IR,1586613266,43,34.74,60.78,19.8,7.77
334,Uva,100,RU,1586613267,32,56.99,52.19,12.22,2.68
335,Iqaluit,90,CA,1586612747,85,63.75,-68.51,-8.0,1.64
336,Cherskiy,100,RU,1586612762,96,68.75,161.3,-10.32,4.73
337,Puerto Nariño,75,CO,1586612761,100,-3.77,-70.38,25.0,1.18
338,Srednekolymsk,1,RU,1586612762,95,67.45,153.68,-8.61,3.23
339,Santa Cruz de Tenerife,20,ES,1586613273,60,28.47,-16.25,23.0,8.7
340,Uttarkāshi,17,IN,1586613274,24,30.73,78.45,17.66,2.83
341,Jumla,15,NP,1586613275,25,29.27,82.18,9.12,1.2
342,Port Keats,79,AU,1586613276,76,-14.25,129.55,26.71,4.94
343,Kokopo,83,PG,1586613277,79,-4.35,152.26,26.67,2.45
344,Lüderitz,0,NA,1586612774,49,-26.65,15.16,23.0,4.6
345,Balikpapan,100,ID,1586612773,87,-1.27,116.83,24.57,1.96
346,Lasem,90,ID,1586613280,75,-6.69,111.45,27.52,1.63
347,Wattegama,25,LK,1586613281,80,6.8,81.48,25.49,1.49
348,Esperance,62,AU,1586612741,64,-33.87,121.9,21.0,6.2
349,Skibbereen,20,IE,1586612993,63,51.55,-9.27,19.0,2.6
350,Znamenskoye,47,RU,1586613284,92,57.13,73.83,3.87,1.94
351,Alexandria,20,EG,1586613285,56,31.22,29.96,20.0,5.7
352,Maniitsoq,99,GL,1586612742,73,65.42,-52.9,3.22,4.58
353,Talitsy,100,RU,1586613288,65,56.53,42.33,4.39,2.62
354,Gallup,1,US,1586613289,45,35.53,-108.74,-3.0,2.1
355,Imbituba,1,BR,1586613290,60,-28.24,-48.67,21.0,1.5
356,Talaya,100,RU,1586612743,88,61.38,152.75,-10.39,1.05
357,Belyy Yar,0,RU,1586613292,55,53.6,91.39,3.0,2.0
358,Chumikan,0,RU,1586613293,80,54.72,135.31,2.47,3.71
359,Tura,31,IN,1586613181,36,25.52,90.22,24.7,1.08
360,Severnyy,97,RU,1586613295,36,50.68,36.55,9.0,7.0
361,Weiser,1,US,1586613296,50,44.25,-116.97,13.0,3.6
362,Plouzané,0,FR,1586612757,47,48.38,-4.62,24.0,3.1
363,Mnogovershinnyy,34,RU,1586613298,94,53.94,139.92,-2.55,2.94
364,Ola,100,RU,1586613299,91,59.58,151.28,-8.87,4.68
365,Leninskoye,29,RU,1586613301,61,47.94,132.62,3.93,1.94
366,Lufilufi,98,WS,1586613302,71,-13.87,-171.6,29.22,1.96
367,Khowst,97,AF,1586613303,45,33.38,69.88,18.2,1.81
368,Pisco,90,PE,1586612691,30,-13.7,-76.22,22.22,1.5
369,Chui,8,UY,1586612750,57,-33.7,-53.46,21.35,1.83
370,Asău,83,RO,1586613306,25,46.43,26.4,16.11,3.1
371,Mitsamiouli,59,KM,1586613307,74,-11.38,43.28,29.0,6.12
